timestamp,equity,cash,realized_pnl,unrealized_pnl,drawdown,open_position_qty
1762353122738343897,100000.00,100000.00,0.00,0.00,0.00,0
1762353123740253125,100000.00,100000.00,0.00,0.00,0.00,0
1762353124740477947,100000.00,100000.00,0.00,0.00,0.00,0
1762353125760047647,100000.00,100000.00,0.00,0.00,0.00,0
1762353126763055269,100000.00,100000.00,0.00,0.00,0.00,0
1762353127763896883,100000.00,100000.00,0.00,0.00,0.00,0
1762353128766034229,100000.00,100000.00,0.00,0.00,0.00,0
1762353129773834169,100000.00,100000.00,0.00,0.00,0.00,0
1762353130788648257,100000.00,100000.00,0.00,0.00,0.00,0
1762353131790324467,100000.00,100000.00,0.00,0.00,0.00,0
1762353132790451109,100000.00,100000.00,0.00,0.00,0.00,0
1762353133798708753,100000.00,100000.00,0.00,0.00,0.00,0
1762353134804518819,100000.00,100000.00,0.00,0.00,0.00,0
1762353135823250103,100000.00,100000.00,0.00,0.00,0.00,0
1762353136826602077,100000.00,100000.00,0.00,0.00,0.00,0
1762353137826715969,100000.00,100000.00,0.00,0.00,0.00,0
1762353138838330259,100000.00,100000.00,0.00,0.00,0.00,0
1762353139842151155,100000.00,100000.00,0.00,0.00,0.00,0
1762353140844319767,100000.00,100000.00,0.00,0.00,0.00,0
1762353141845900619,100000.00,100000.00,0.00,0.00,0.00,0
1762353142850252315,100000.00,100000.00,0.00,0.00,0.00,0
1762353143877231497,100000.00,100000.00,0.00,0.00,0.00,0
1762353144880784345,100000.00,100000.00,0.00,0.00,0.00,0
1762353145898739997,100000.00,100000.00,0.00,0.00,0.00,0
1762353146909484429,100000.00,100000.00,0.00,0.00,0.00,0
1762353147910975347,100000.00,100000.00,0.00,0.00,0.00,0
1762353148914914125,100000.00,100000.00,0.00,0.00,0.00,0
1762353149920029287,100000.00,100000.00,0.00,0.00,0.00,0
1762353150920136187,100000.00,100000.00,0.00,0.00,0.00,0
1762353151921664837,100000.00,100000.00,0.00,0.00,0.00,0
1762353152925005597,100000.00,100000.00,0.00,0.00,0.00,0
1762353153927661139,100000.00,100000.00,0.00,0.00,0.00,0
1762353154934518189,100000.00,100000.00,0.00,0.00,0.00,0
1762353155968450769,100000.00,100000.00,0.00,0.00,0.00,0
1762353156973215899,100000.00,100000.00,0.00,0.00,0.00,0
1762353157980957413,100000.00,100000.00,0.00,0.00,0.00,0
1762353158986898891,100000.00,100000.00,0.00,0.00,0.00,0
1762353159989022405,100000.00,100000.00,0.00,0.00,0.00,0
1762353160992212093,100000.00,100000.00,0.00,0.00,0.00,0
1762353161995232425,100000.00,100000.00,0.00,0.00,0.00,0
1762353163000573875,100000.00,100000.00,0.00,0.00,0.00,0
1762353164000842245,100000.00,100000.00,0.00,0.00,0.00,0
1762353165002982339,100000.00,100000.00,0.00,0.00,0.00,0
1762353166004070279,100000.00,100000.00,0.00,0.00,0.00,0
1762353167013287451,100000.00,100000.00,0.00,0.00,0.00,0
1762353168020635435,100000.00,100000.00,0.00,0.00,0.00,0
1762353169022640675,100000.00,100000.00,0.00,0.00,0.00,0
1762353170036160189,100000.00,100000.00,0.00,0.00,0.00,0
1762353171045271933,100000.00,100000.00,0.00,0.00,0.00,0
1762353172057456615,100000.00,100000.00,0.00,0.00,0.00,0
1762353173070954271,100000.00,100000.00,0.00,0.00,0.00,0
1762353174074809655,100000.00,100000.00,0.00,0.00,0.00,0
1762353175074815207,100000.00,100000.00,0.00,0.00,0.00,0
1762353176077083775,100000.00,100000.00,0.00,0.00,0.00,0
1762353177091385931,100000.00,100000.00,0.00,0.00,0.00,0
1762353178091638691,100000.00,100000.00,0.00,0.00,0.00,0
1762353179107873823,100000.00,100000.00,0.00,0.00,0.00,0
1762353180113155111,100000.00,100000.00,0.00,0.00,0.00,0
1762353181115192031,100000.00,100000.00,0.00,0.00,0.00,0
1762353182122069047,100000.00,100000.00,0.00,0.00,0.00,0
1762353183142467701,100000.00,100000.00,0.00,0.00,0.00,0
1762353184145465817,100000.00,100000.00,0.00,0.00,0.00,0
1762353185157017231,100000.00,100000.00,0.00,0.00,0.00,0
1762353186159776063,100000.00,100000.00,0.00,0.00,0.00,0
