timestamp,strategy_id,instrument_id,side,price,quantity,realized_pnl,commission
1762301211273726699,SimpleMarketMaker,294973,SELL,6783.75,1,0.00,2.17
1762301214103293313,SimpleMarketMaker,294973,BUY,6783.50,1,12.50,2.17
1762301219872041261,SimpleMarketMaker,294973,SELL,6783.50,1,0.00,2.17
1762301239127022981,SimpleMarketMaker,294973,BUY,6784.25,1,-37.50,2.17
1762301241957223929,SimpleMarketMaker,294973,SELL,6784.50,1,0.00,2.17
1762301250127181441,SimpleMarketMaker,294973,BUY,6784.00,1,25.00,2.17
1762301251978589161,SimpleMarketMaker,294973,SELL,6784.50,1,0.00,2.17
1762301260549550609,SimpleMarketMaker,294973,BUY,6784.00,1,25.00,2.17
1762301262281417437,SimpleMarketMaker,294973,SELL,6784.25,1,0.00,2.17
1762301263989500781,SimpleMarketMaker,294973,BUY,6784.00,1,12.50,2.17
1762301282820904581,SimpleMarketMaker,294973,SELL,6784.00,1,0.00,2.17
1762301283368152505,SimpleMarketMaker,294973,BUY,6783.50,1,25.00,2.17
1762301292721315923,SimpleMarketMaker,294973,SELL,6783.75,1,0.00,2.17
1762301296670354903,SimpleMarketMaker,294973,BUY,6783.75,1,0.00,2.17
1762301297525050351,SimpleMarketMaker,294973,SELL,6784.25,1,0.00,2.17
1762301327353247625,SimpleMarketMaker,294973,SELL,6786.00,1,0.00,2.17
1762301329441265421,SimpleMarketMaker,294973,BUY,6786.25,1,-50.00,2.17
1762301332615011093,SimpleMarketMaker,294973,BUY,6785.75,1,-25.00,2.17
1762301334414486593,SimpleMarketMaker,294973,SELL,6786.75,1,0.00,2.17
1762301336871870531,SimpleMarketMaker,294973,BUY,6786.25,1,25.00,2.17
1762301337136058333,SimpleMarketMaker,294973,BUY,6785.50,1,0.00,2.17
1762301340335485381,SimpleMarketMaker,294973,SELL,6785.50,1,0.00,2.17
1762301345254725789,SimpleMarketMaker,294973,SELL,6786.50,1,0.00,2.17
1762301356451098741,SimpleMarketMaker,294973,BUY,6787.50,1,-50.00,2.17
1762301358287817297,SimpleMarketMaker,294973,SELL,6787.75,1,0.00,2.17
1762301364311867423,SimpleMarketMaker,294973,BUY,6787.50,1,12.50,2.17
1762301364844956783,SimpleMarketMaker,294973,SELL,6787.75,1,0.00,2.17
1762301375682590505,SimpleMarketMaker,294973,BUY,6787.50,1,12.50,2.17
1762301382377293167,SimpleMarketMaker,294973,SELL,6787.75,1,0.00,2.17
1762301383962395839,SimpleMarketMaker,294973,BUY,6787.50,1,12.50,2.17
1762301384886525373,SimpleMarketMaker,294973,SELL,6788.00,1,0.00,2.17
1762301390683171489,SimpleMarketMaker,294973,BUY,6787.75,1,12.50,2.17
1762301404556117431,SimpleMarketMaker,294973,SELL,6787.75,1,0.00,2.17
1762301434269215467,SimpleMarketMaker,294973,BUY,6789.25,1,-75.00,2.17
1762301444185364395,SimpleMarketMaker,294973,SELL,6789.00,1,0.00,2.17
1762301447517598937,SimpleMarketMaker,294973,BUY,6788.50,1,25.00,2.17
1762301453296071399,SimpleMarketMaker,294973,BUY,6788.00,1,0.00,2.17
1762301460899486491,SimpleMarketMaker,294973,SELL,6787.00,1,-50.00,2.17
1762301461241876097,SimpleMarketMaker,294973,SELL,6787.75,1,0.00,2.17
1762301475961275807,SimpleMarketMaker,294973,BUY,6787.50,1,12.50,2.17
1762301481630391605,SimpleMarketMaker,294973,SELL,6787.50,1,0.00,2.17
