timestamp,equity,cash,realized_pnl,unrealized_pnl,drawdown,open_position_qty
1762300937784248943,100040.80,100040.80,62.50,0.00,23.35,0
1762300938788599009,100040.80,100040.80,62.50,0.00,23.35,0
1762300939895916715,100040.80,100040.80,62.50,0.00,23.35,0
1762300940915431893,100040.80,100040.80,62.50,0.00,23.35,0
1762300941915464929,100040.80,100040.80,62.50,0.00,23.35,0
1762300942918587551,100038.63,100038.63,62.50,0.00,25.52,1
1762300943944933529,100038.63,100038.63,62.50,0.00,25.52,1
1762300945138759977,100038.63,100038.63,62.50,0.00,25.52,1
1762300946198584695,100051.13,100038.63,62.50,12.50,13.02,1
1762300947275685931,100038.63,100038.63,62.50,0.00,25.52,1
1762300948363413153,100038.63,100038.63,62.50,0.00,25.52,1
1762300949436630437,100038.63,100038.63,62.50,0.00,25.52,1
1762300950469881841,100038.63,100038.63,62.50,0.00,25.52,1
1762300952004414953,100051.13,100038.63,62.50,12.50,13.02,1
1762300953040251135,100038.63,100038.63,62.50,0.00,25.52,1
1762300954079495499,100038.63,100038.63,62.50,0.00,25.52,1
1762300955285002777,100051.13,100038.63,62.50,12.50,13.02,1
1762300956444341347,100051.13,100038.63,62.50,12.50,13.02,1
1762300957480589875,100051.13,100038.63,62.50,12.50,13.02,1
1762300958635692847,100038.63,100038.63,62.50,0.00,25.52,1
1762300959660104589,100051.13,100038.63,62.50,12.50,13.02,1
1762300960870508139,100051.13,100038.63,62.50,12.50,13.02,1
1762300961948344371,100051.13,100038.63,62.50,12.50,13.02,1
1762300963036525227,100051.13,100038.63,62.50,12.50,13.02,1
1762300964233006923,100051.13,100038.63,62.50,12.50,13.02,1
1762300965511381129,100051.13,100038.63,62.50,12.50,13.02,1
1762300966533960115,100051.13,100038.63,62.50,12.50,13.02,1
1762300967535717157,100063.63,100038.63,62.50,25.00,0.52,1
1762300968583756949,100063.63,100038.63,62.50,25.00,0.52,1
1762300969814107011,100063.63,100038.63,62.50,25.00,0.52,1
1762300971003880829,100073.96,100073.96,100.00,0.00,-9.81,0
1762300972068798087,100073.96,100073.96,100.00,0.00,-9.81,0
1762300973097549059,100073.96,100073.96,100.00,0.00,-9.81,0
1762300974097894481,100084.29,100071.79,100.00,12.50,0.00,1
1762300975098657887,99969.62,100069.62,100.00,-100.00,114.67,1
1762300976102724145,99969.62,100069.62,100.00,-100.00,114.67,1
1762300977135909553,99969.62,100069.62,100.00,-100.00,114.67,1
1762300978182002153,99969.62,100069.62,100.00,-100.00,114.67,1
1762300979198849017,99994.62,100069.62,100.00,-75.00,89.67,1
1762300980200448443,100017.45,100042.45,75.00,-25.00,66.84,1
1762300981200481867,100027.78,100027.78,62.50,0.00,56.51,0
1762300982286809043,100027.78,100027.78,62.50,0.00,56.51,0
1762300983352779609,100027.78,100027.78,62.50,0.00,56.51,0
1762300984436438077,100027.78,100027.78,62.50,0.00,56.51,0
1762300985452512065,100027.78,100027.78,62.50,0.00,56.51,0
1762300986529454647,100027.78,100027.78,62.50,0.00,56.51,0
1762300987780931055,100027.78,100027.78,62.50,0.00,56.51,0
1762300988786766705,100035.94,100035.94,75.00,0.00,48.35,0
1762300989890778495,100033.77,100033.77,75.00,0.00,50.52,1
1762300990915809459,100033.77,100033.77,75.00,0.00,50.52,1
1762300991925926997,100033.77,100033.77,75.00,0.00,50.52,1
1762300992935941565,100046.27,100033.77,75.00,12.50,38.02,1
1762300993955094291,100046.27,100033.77,75.00,12.50,38.02,1
1762300995159141073,100046.27,100033.77,75.00,12.50,38.02,1
1762300996377817155,100033.77,100033.77,75.00,0.00,50.52,1
1762300997617284675,100033.77,100033.77,75.00,0.00,50.52,1
1762300998924770833,100033.77,100033.77,75.00,0.00,50.52,1
1762301000020322409,100033.77,100033.77,75.00,0.00,50.52,1
